word;aoa;percentknown;;;;;;
mama;2,04;100,0;;;;;;
ja;2,25;100,0;;;;;;
mamma;2,33;93,5;;;;;;
papa;2,34;100,0;;;;;;
nee;2,56;100,0;;;;;;
kaka;2,61;100,0;;;;;;
pappa;2,76;88,0;;;;;;
ikke;2,90;100,0;;;;;;
tutje;2,94;94,4;;;;;;
tuut;2,96;94,0;;;;;;
neen;2,97;99,0;;;;;;
woef;3,04;100,0;;;;;;
ik;3,06;100,0;;;;;;
ai;3,19;88,9;;;;;;
plassen;3,25;100,0;;;;;;
bah;3,33;100,0;;;;;;
drie;3,41;100,0;;;;;;
koek;3,45;100,0;;;;;;
eten;3,46;100,0;;;;;;
papje;3,54;100,0;;;;;;
drinken;3,56;100,0;;;;;;
slapen;3,57;100,0;;;;;;
pepe;3,60;91,7;;;;;;
school;3,61;100,0;;;;;;
bal;3,63;100,0;;;;;;
water;3,67;100,0;;;;;;
boom;3,69;99,8;;;;;;
melk;3,69;100,0;;;;;;
een;3,70;100,0;;;;;;
toet;3,71;90,0;;;;;;
schoen;3,71;100,0;;;;;;
hallo;3,73;100,0;;;;;;
hand;3,73;100,0;;;;;;
zusje;3,74;100,0;;;;;;
beertje;3,75;100,0;;;;;;
hond;3,76;99,9;;;;;;
bed;3,76;100,0;;;;;;
broer;3,76;100,0;;;;;;
slaapwel;3,78;100,0;;;;;;
buik;3,78;100,0;;;;;;
mond;3,78;100,0;;;;;;
voeten;3,79;100,0;;;;;;
pijn;3,79;100,0;;;;;;
speelgoed;3,84;100,0;;;;;;
verjaardag;3,84;100,0;;;;;;
pop;3,84;100,0;;;;;;
dada;3,85;96,2;;;;;;
jongen;3,85;99,3;;;;;;
twee;3,85;100,0;;;;;;
jas;3,85;100,0;;;;;;
meisje;3,89;100,0;;;;;;
zeep;3,90;100,0;;;;;;
spelen;3,90;100,0;;;;;;
WC;3,90;100,0;;;;;;
rood;3,91;99,8;;;;;;
kat;3,92;100,0;;;;;;
boem;3,93;99,1;;;;;;
hoofd;3,93;100,0;;;;;;
appel;3,94;99,9;;;;;;
je;3,94;100,0;;;;;;
kusje;3,94;100,0;;;;;;
stoel;3,95;98,6;;;;;;
neus;3,95;100,0;;;;;;
kleuren;3,96;100,0;;;;;;
niet;3,96;100,0;;;;;;
televisie;3,96;100,0;;;;;;
geel;3,98;100,0;;;;;;
opa;3,98;99,5;;;;;;
vader;3,99;100,0;;;;;;
moeder;3,99;100,0;;;;;;
handen;4,00;100,0;;;;;;
hom;4,00;5,6;;;;;;
brood;4,01;100,0;;;;;;
duim;4,01;100,0;;;;;;
vier;4,01;99,1;;;;;;
pap;4,01;100,0;;;;;;
sint;4,02;100,0;;;;;;
goed;4,03;100,0;;;;;;
klein;4,03;100,0;;;;;;
stout;4,03;100,0;;;;;;
tafel;4,03;99,9;;;;;;
piep;4,04;98,2;;;;;;
groen;4,04;100,0;;;;;;
mam;4,04;97,9;;;;;;
onderbroek;4,05;100,0;;;;;;
tekening;4,06;100,0;;;;;;
vinger;4,07;100,0;;;;;;
dier;4,07;99,8;;;;;;
teen;4,08;100,0;;;;;;
been;4,09;100,0;;;;;;
hebben;4,09;100,0;;;;;;
koud;4,09;100,0;;;;;;
poes;4,09;100,0;;;;;;
kleurtjes;4,10;100,0;;;;;;
voet;4,11;100,0;;;;;;
oog;4,11;100,0;;;;;;
kakken;4,11;100,0;;;;;;
tiktak;4,11;100,0;;;;;;
gras;4,12;100,0;;;;;;
kijk;4,14;100,0;;;;;;
lopen;4,14;100,0;;;;;;
moe;4,14;100,0;;;;;;
zus;4,14;100,0;;;;;;
blauw;4,14;100,0;;;;;;
dorst;4,15;99,8;;;;;;
kleuterklas;4,15;100,0;;;;;;
