participle,llr
bedoeld,-71.82
bedreigd,-45.36
begrepen,-22.25
bekend,-20.02
beperkt,-15.56
bereid,-15.56
bestemd,-11.1
bestudeerd,-8.88
betrokken,-8.88
bevestigd,-8.88
bevoegd,-8.88
bewust,-6.66
bezorgd,-6.66
doorzocht,-6.66
gebaat,-6.66
gebaseerd,-6.66
geblokkeerd,-6.66
gecontroleerd,-6.66
gehecht,-6.66
geïnspireerd,-6.66
geïnteresseerd,-6.49
gekant,-6.49
gelezen,-6.49
geneigd,-5.93
geoorloofd,-4.67
gerechtvaardigd,-4.67
gerept,-4.67
gericht,-4.44
geschaad,-4.44
geschikt,-4.44
geslaagd,-4.44
gesteund,-4.44
gevestigd,-4.44
gewonnen,-4.44
gezond,-4.44
onderworpen,-4.44
overleden,-4.44
overspoeld,-4.44
overtuigd,-4.44
toegelaten,-4.44
uitgegroeid,-4.44
uitgesloten,-4.44
verboden,-4.44
verbonden,-4.44
vergemakkelijkt,-4.44
verkeerd,-4.44
verplicht,-4.44
verschuldigd,-4.44
vertegenwoordigd,-4.44
vervalst,-4.44
vervuld,-4.32
verwittigd,-4.32
verzekerd,-4.26
aangenomen,13.15
gebracht,12.87
gegaan,11.27
gegeven,10.98
gegooid,9.65
gehad,9
gekomen,7.23
gekregen,6.42
gemaakt,5.81
genomen,5.62
gestart,5.62
gestemd,5.3
geweest,5.04
geworden,4.82
gezet,4.01
goedgekeurd,4.01
ontdekt,4.01
ontvangen,4.01
opgeheven,4.01
teruggevonden,4.01
uitgevoerd,4.01
verklaard,3.88
