word,valence,arousal,dominance,aoa,category
aaien,5.20,3.97,3.44,4.71,V
aal,3.42,3.90,3.44,8.03,N
aalmoes,3.30,3.10,2.81,9.38,N
aandachtig,5.30,4.88,4.88,7.52,A
aangenaam,5.94,3.72,4.67,8.19,A
aanslag,1.88,6.06,5.66,8.29,N
aanstoot,3.05,4.86,4.62,9.42,N
aanstotelijk,3.16,5.03,4.44,9.83,A
aantrekkelijk,6.19,4.86,5.28,8.87,A
aanval,2.59,5.89,5.38,6.13,N
aanvallen,2.92,6.28,5.56,6.06,V
aanvallend,2.86,5.94,5.63,7.58,A
aanwinst,5.70,4.45,4.91,8.74,N
aanzien,5.09,4.11,4.70,9.10,N
aanzienlijk,4.77,4.09,4.94,9.48,A
aap,4.50,5.16,3.97,3.71,N
aard,4.23,3.20,4.11,8.27,N
aardbei,5.42,3.28,3.34,4.32,N
aardbeving,2.13,6.02,6.05,6.84,N
aarde,4.83,3.58,4.56,5.06,N
aars,2.68,3.89,4.25,9.70,N
aas,3.73,3.59,3.05,7.74,N
absurd,3.22,4.33,4.23,9.10,A
abt,3.76,3.11,3.87,10.10,N
accent,4.30,3.83,4.06,8.16,N
achten,4.23,3.85,4.38,9.87,V
acne,2.20,3.92,3.91,10.48,N
act,4.14,4.58,4.03,9.48,N
actief,5.42,6.19,5.20,6.87,A
acuut,3.27,5.24,5.06,10.48,A
adder,3.16,4.56,4.34,7.26,N
adel,4.41,3.48,5.16,8.29,N
adelaar,4.61,4.83,4.91,7.81,N
adem,4.78,3.92,4.28,5.10,N
ader,3.75,4.25,4.20,7.65,N
adres,4.14,3.30,3.77,5.97,N
advies,5.23,4.11,4.81,8.16,N
advocaat,3.92,4.66,5.19,8.32,N
afbreken,2.78,5.05,4.48,6.61,V
afgunst,2.22,4.39,3.73,9.23,N
afhankelijk,2.73,3.14,2.69,8.90,A
afkeer,2.17,4.50,4.47,8.39,N
afkeren,2.59,4.36,4.00,8.77,V
afkerig,2.46,3.94,3.77,9.80,A
afscheid,2.39,4.31,4.31,6.68,N
afschermen,3.66,4.59,3.94,8.29,V
afschuw,2.09,4.84,4.45,8.13,N
afstand,3.45,3.38,4.06,6.23,N
afstotelijk,2.09,4.45,3.97,9.42,A
afstoten,2.44,4.94,4.42,8.52,V
afval,2.61,3.28,3.44,5.84,N
afwachten,3.50,2.77,3.34,7.39,V
afwachtend,3.55,2.55,3.03,9.00,A
afwijzen,2.34,4.59,4.59,8.29,V
agentschap,4.00,3.92,4.72,10.23,N
agressie,1.98,6.08,5.45,7.97,N
agressief,1.88,6.11,5.50,8.13,A
aids,1.47,4.69,4.38,10.45,N
akker,4.29,3.42,3.73,7.13,N
akkoord,5.30,4.17,4.59,7.29,N
akte,4.11,3.38,4.55,10.35,N
alarm,2.88,5.59,5.19,6.06,N
album,4.63,3.38,4.08,6.68,N
alcholisme,1.95,4.55,3.91,10.00,N
alert,4.84,5.27,5.03,9.06,A
alleen,2.78,2.55,2.70,5.19,A
altaar,4.22,2.95,4.08,6.77,N
ambacht,4.59,4.70,4.38,9.52,N
ambitie,5.66,5.45,5.53,9.81,N
ambitieus,5.64,5.64,5.53,10.13,A
ambt,4.13,3.77,4.42,10.45,N
ander,4.00,3.81,4.08,5.32,N
angel,2.88,4.40,4.81,7.55,N
angst,2.22,5.36,3.84,5.45,N
angstig,2.11,5.39,3.11,6.55,A
anijs,4.06,3.21,3.95,9.70,N
anjer,4.61,3.19,3.52,8.83,N
anker,4.25,3.02,4.84,7.03,N
ansjovis,3.80,3.47,3.52,9.29,N
anti,2.67,4.28,4.64,8.48,R
antiek,4.38,2.84,3.81,8.10,A
antilope,4.61,5.00,3.87,8.10,N
antwoord,4.56,4.05,4.11,4.87,N
anus,2.81,3.61,4.22,9.58,N
apathie,2.57,2.67,3.57,12.53,N
apathisch,2.33,2.58,3.25,12.32,A
appel,4.77,3.30,3.80,3.87,N
applaus,5.81,5.33,5.00,5.71,N
aquarium,4.63,3.30,3.84,6.61,N
arbeid,4.11,5.41,4.38,7.61,N
are,4.17,3.21,4.00,9.75,N
arend,4.42,4.84,5.08,6.61,N
argwaan,2.48,4.42,4.13,10.39,N
ark,4.11,3.70,4.59,7.16,N
arm,3.36,3.55,3.48,3.87,N
armoe,1.95,3.24,3.05,7.20,N
armoede,1.89,3.36,2.75,7.16,N
armoedig,2.09,3.16,2.72,8.03,A
armzalig,2.17,3.06,2.55,8.32,A
arrest,2.45,4.77,5.00,9.48,N
arrogant,2.27,5.02,4.91,9.29,A
artistiek,5.28,4.30,4.55,9.65,A
arts,4.86,4.67,5.23,6.32,N
as,3.00,2.75,3.28,7.45,N
asiel,2.83,4.08,3.41,8.00,N
asociaal,2.11,3.78,3.95,9.10,A
aspect,4.17,3.38,3.97,9.90,N
assertief,5.55,5.41,5.59,12.03,A
astma,2.44,4.25,3.66,8.00,N
atlas,4.25,3.17,4.08,8.48,N
atleet,5.03,5.94,5.05,7.10,N
attent,5.80,4.39,4.47,9.29,A
aula,4.16,3.75,4.22,12.03,N
aura,4.73,3.35,4.34,10.96,N
