"participle","adjectiveness"
"genoemd",0.1993
"gelinkt",0.2495
"gehoord",0.0708
"gebracht",0.034
"benoemd",0.1201
"gezet",0.0544
"verdwenen",0.2401
"gewerkt",0.0289
"verplicht",0.4548
"gebeurd",0.052
"vergeten",0.2267
"geïnd",0.0599
"gerecupereerd",0.1128
"gezorgd",0
"beschouwd",0.0976
"berekend",0.2364
"vergiftigd",0.4477
"gegeten",0.0956
"betrapt",0.0858
"gewaarschuwd",0.1376
"opgelegd",0.0918
"ingeschreven",0.1834
"veroordeeld",0.2417
"ingebroken",0.0031
"geparkeerd",0.263
"aangebracht",0.0542
"overgebracht",0.0125
"bevrijd",0.2744
"gevoerd",0.0245
"geworden",0.0957
"bedoeld",0.4728
"geweest",0
"gestopt",0.0903
"herbegonnen",0.0577
"verwacht",0.0527
"uitgesteld",0.098
"genomen",0.1131
"gewenst",0.4624
"ingestuurd",0.0627
"ontsproten",0.4211
"geschoven",0.0386
"aangesteld",0.0558
"voorgesteld",0.0356
"gelukt",0.0688
"weggegeven",0.0587
"gekregen",0.0202
"gehad",0
"beperkt",0.7837
"herleid",0.1001
"gegaan",0.0458
"gespeeld",0.0969
"uitverkocht",0.2531
"gereserveerd",0.2436
"gestart",0.0901
"gevonden",0.0811
"geblazen",0.0887
"toegelaten",0.2665
"bevestigd",0.0585
"geplaatst",0.1252
"gemaakt",0.0638
"aangepakt",0.0193
"gestraft",0.0534
"opgeroepen",0.0591
"weggekaapt",0
"aangeklopt",0
"verdiend",0.4019
"klaargestoomd",0.0696
"ingediend",0.0457
"verzet",0.0557
"voorzien",0.1987
"gedronken",0.0425
"uitgenodigd",0.0521
"voorbereid",0.1703
"gehaald",0.0335
"ingelegd",0.2446
"gesleurd",0.0692
"gelegd",0.0197
"geraamd",0.0714
"gebruikt",0.0545
"beveiligd",0.2845
"vernieuwd",0.2157
"gehouden",0.0514
"onderhandeld",0.0234
"ingeruild",0.0388
"geschorst",0.3198
"voortgezet",0.3914
"gedomineerd",0.1527
"aangevoerd",0.187
"uitgesloten",0.2327
"bewolkt",0.7233
"geregistreerd",0.2341
"getemperd",0.1925
"uitgewisseld",0.0279
"overschaduwd",0.1294
"gehuisvest",0.2015
"bijgekomen",0.0899
"gestabiliseerd",0.1279
"bijgedragen",0.0051
"vervangen",0.0618
"versleten",0.6347
"afgezonderd",0.5783
"opgestapt",0.0617
"afgestapt",0.1138
"vertrokken",0.1593
"gezien",0.2568
"bewezen",0.327
"opgesteld",0.1356
"ondervraagd",0.0862
"aangeduid",0.1533
"verplaatst",0.0736
"vertegenwoordigd",0.2761
"uitgestoken",0.4931
"erkend",0.2495
"opgelopen",0.1848
"ingezien",0.0093
"gepraat",0
"gezegd",0.2177
"ingestemd",0
"opgeleverd",0.0062
"gecombineerd",0.565
"overstelpt",0.4536
"gehuldigd",0.0533
"gekomen",0.0546
"geleerd",0.0376
"geholpen",0.0923
"aangetrapt",0
"gesteld",0.1076
"gevreesd",0.0894
"opgesoupeerd",0
"gedaan",0.1421
"gecontacteerd",0.0292
"aangedrongen",0.0064
"geveld",0.1375
"gezaaid",0.1176
"verlengd",0.1779
"gekozen",0.23
"ingebracht",0.0666
"gekrikt",0
"waargemaakt",0.0121
"begeven",0
"nageleefd",0.005
"verdronken",0.3488
"onderzocht",0.022
"vernietigd",0.0918
"gevierd",0.1006
"gebakken",0.7507
"bedekt",0.4928
"gesmolten",0.7363
"ingetrokken",0.0589
"opgevoerd",0.0583
"uitgegaan",0.0396
"toegevoegd",0.0549
"opgestart",0
"beslist",0.2334
"opgetrokken",0.2123
"gevat",0.2074
"gemeld",0.0224
"opgemerkt",0.0586
"gepland",0.2136
"stilgelegd",0.0406
"geëist",0.0184
"gestolen",0.3216
"aangelegd",0.0861
"gereden",0.0713
"verpletterd",0.3849
"gebleken",0.0451
"aangewreven",0.0084
"gedagvaard",0.0197
"overgemaakt",0.0245
"losgeslagen",0.9301
"afgerekend",8e-04
"gekeken",0
"toegekend",0.0587
"verwaarloosd",0.3712
"verklaard",0.0494
"bevonden",0.1361
"opgesloten",0.3192
"geboren",0.4151
"ingezet",0.0218
"genageld",0.3178
"gegroeid",0.1937
"geschrapt",0.024
"herbekeken",0
"uitgehouden",0.0173
"gedreigd",0.007
"afgesloten",0.1949
"verzekerd",0.3655
"bekendgemaakt",0.0353
"betaald",0.1793
"uitbetaald",0.0327
"terugbetaald",0.016
"geïnvesteerd",0.0285
"ingelicht",0.038
"besloten",0.1134
"gevolgd",0.421
"uitgeoefend",0.059
"onthaald",0.0298
"meegemaakt",0.0184
"geïnformatiseerd",0.5658
"ontslagen",0.2357
"gelegen",0.6653
"gevraagd",0.0744
"geroerd",0.4387
"geantwoord",0.0517
"voorgeschoteld",0.0349
"ademgehaald",0
"aanvaard",0.1234
"geschat",0.1796
"begroet",0.0503
"verlost",0.2413
"gehecht",0.3748
"hervallen",0
"verloren",0.5524
"bijgestoken",0
"gegeven",0.1777
"gemotiveerd",0.6972
"benadeeld",0.2468
"rechtgezet",0.0393
"welgekomen",0.8745
"aangesproken",0.1438
"geleden",0.7909
"opgeschroefd",0.0637
"verkocht",0.0557
"toegegeven",0.4634
"bijgeschaafd",0
"neergezet",0.0597
"gesleept",0.0293
"onthouden",0.03
"gemist",0.075
"aangevuld",0.4816
"afgerond",0.1472
"gescoord",0.0461
"overgespeeld",0
"afgelast",0.0853
"vernoemd",0.2671
"verlaten",0.4248
"verbannen",0.2457
"opgeborgen",0.1219
"opgevangen",0.0461
"aangekocht",0.0857
"gevoetbald",0
"overklast",0
"gespaard",0.5204
"gesproken",0.2452
"geruimd",0.0288
"toegestaan",0.0776
"bijgetekend",0
"gespeurd",0
"gepakt",0.1164
"gelanceerd",0.0707
"gerangschikt",0.4756
"gewonnen",0.125
"opengetrokken",0.0761
"geklaard",0.0411
"weggezakt",0.1814
"bezet",0.4562
"afgetrapt",0.2124
"overgedaan",0.0276
"bedankt",0.7338
"verzameld",0.1821
"opgericht",0.1836
"samengebracht",0.1182
"afgesteld",0.1689
"begonnen",0.1004
"verhuisd",0.1281
"afgebroken",0.1459
"gewikkeld",0.434
"afgestorven",0.6891
"afgestoten",0.0959
"gevoed",0.2212
"weggeraakt",0.06
"gedraaid",0.0936
"gegrepen",0.3413
"geslagen",0.1604
"afgelopen",0.9566
"vertolkt",0.3826
"gewezen",0.6596
"geslaagd",0.2911
"opgedeeld",0.1514
"gehanteerd",0.0346
"gestuurd",0.0414
"overvallen",0.0778
"opgepakt",0.044
"getwijfeld",0
"gerekend",0.0587
"overdreven",0.8282
"gewaagd",0.3109
"gesubsidieerd",0.4126
"ingezonden",0.9083
"onderworpen",0.184
"vermist",0.3985
"afgebeeld",0.1486
"gedragen",0.1748
"verdaagd",0
"gerenoveerd",0.1245
"gemobiliseerd",0.1042
"gestikt",0.1978
"gekend",0.1579
"verschoven",0.1026
"gestalkt",0
"getrouwd",0.2732
"bewaakt",0.2198
"weggelegd",0.0859
"overeengekomen",0.3211
"geëvolueerd",0.2515
"misgegaan",0.0096
"bezorgd",0.6837
"doodgeschoten",0.0998
"overtuigd",0.5851
"ondertekend",0.1646
"gesignaleerd",0.0667
"teruggekeerd",0.1393
"goedgekeurd",0.0889
"veranderd",0.0523
"geweigerd",0.0304
"omsloten",0.4149
"aangeplant",0.0796
"ingericht",0.1574
"uitgegeven",0.2704
"gevestigd",0.2006
"gemoeid",0.0179
"aangetrokken",0.2168
"herpakt",0
"gered",0.0572
"geïntegreerd",0.4055
"vastgesteld",0.0435
"aangetroffen",0.0653
"overgedragen",0.1164
"getroffen",0.3454
"belegd",0.2556
"gekocht",0.0771
"uitgevoerd",0.1114
"gepend",0
"gefietst",0.1024
"gesneeuwd",0
"aangehouden",0.1378
"bekroond",0.2583
"vermeld",0.2631
"geschonken",0.1321
"opgebouwd",0.1282
"geprobeerd",0.058
"bevroren",0.7295
"verwittigd",0.043
"aangereden",0.105
"opgewassen",0.1772
"geuit",0.0405
"herzien",0.0983
"voorgelegd",0.0154
"afgekeurd",0.1006
"verkozen",0.3165
"gelachen",0
"herhaald",0.1501
"nagedacht",0
"bestuurd",0.4101
"afgesproken",0.24
"omgekomen",0.2642
"toegenomen",0.3846
"verleerd",0.0741
"geleend",0.3222
"geweten",0.0121
"bekeken",0.3733
"geïnviteerd",0.2152
"opgeruimd",0.2285
"uitgebreid",0.5979
"opgegeven",0.2044
"bekomen",0.2563
"afgeschaft",0.0319
"aanzien",0
"gefluisterd",0.035
"tewerkgesteld",0.1117
"overgegaan",0.0699
"opgenomen",0.1632
"opgezet",0.176
"versneld",0.7418
"gedoopt",0.2018
"bedacht",0.1487
"getekend",0.1648
"uitgerust",0.2842
"gefilmd",0.176
"gewist",0.1667
"meegenomen",0.147
"gelaten",0.1907
"opgeblazen",0.4181
"getipt",0.124
"misbruikt",0.1069
"geleverd",0.0509
"vrijgegeven",0.1371
"gekost",0
"teruggedrongen",0.0359
"gedacht",0.0303
"afgestraft",0.0319
"geslikt",0.0284
"gevuld",0.4451
"gedropt",0.0564
"ontploft",0.1586
"gegooid",0.0323
"achtergebleven",0.6339
"geraakt",0.155
"gevlogen",0.0725
"verdeeld",0.3803
"afgebouwd",0.0333
"tegengehouden",0.022
"gesmokkeld",0.0512
"geboord",0.0339
"geschied",0.0067
"toegedekt",0.3179
"gesloten",0.5335
"bekend",0.8764
"uitgeschreven",0.196
"onderschept",0.0582
"begaan",0.3339
"bijgehaald",0
"beloond",0.0617
"leeggezogen",0.2215
"gedwongen",0.4556
"geplast",0.0521
"gelopen",0.2182
"geschonden",0.1866
"afgeschilderd",0.0429
"ontdekt",0.0479
"gevormd",0.1329
"geboekt",0.0344
"gespot",0.2458
"omgebouwd",0.1117
"geboterd",0
"omgedaan",0
"weggepromoveerd",0.06
"buitengeschopt",0.25
"afgesneden",0.3072
"geroepen",0.0822
"vernomen",0.0077
"vervuild",0.501
"opgemaakt",0.145
"aangevallen",0.0786
"gebroken",0.5421
"gerestaureerd",0.1486
"vrijgemaakt",0.1341
"vastgelegd",0.072
"verdedigd",0.0749
"gejaagd",0.0931
"verdacht",0.4624
"gepleegd",0.06
"vereenvoudigd",0.3362
"bereikt",0.0137
"gestreefd",0
"opgegraven",0.3598
"overleden",0.5952
"afgestemd",0.1791
"opgetrommeld",0.0715
"belaagd",0.2362
"verscholen",0.9271
"ontstaan",0.1301
"opgedoekt",0.0304
"neergepoot",0
"gerealiseerd",0.0472
"overschreden",0.0163
"terechtgekomen",0
"afgenomen",0.1011
"opgevolgd",0.0418
"uitgemaakt",0.0398
"aangerand",0.0856
"besteed",0.0342
"behouden",0.5605
"gekidnapt",0.1424
"verrast",0.6062
"aangeboden",0.1438
"gerond",0.1014
"geregeld",0.6797
"aangereikt",0.0475
"behandeld",0.0625
"aangetast",0.0841
"ingevoerd",0.0515
"bebost",0.6039
"gestorven",0.2463
"achterhaald",0.5303
"uitgekamd",0
"ingeschakeld",0.0271
"ontmoet",0.0322
"gesprongen",0.1625
"verwezen",0.0158
"samengezeten",0
"gestoken",0.1335
"gebleven",0.0811
"omgedoopt",0.2344
"afgezakt",0.434
"uitgeteld",0.2443
"gewond",0.9389
"gerezen",0.2144
"geprovoceerd",0.1604
"bestookt",0.0664
"gepest",0.1541
"bijeengeroepen",0.3136
"aangevraagd",0.0367
"hersteld",0.2917
"overwogen",0.0936
"afgeleverd",0.0651
"afgedankt",0.4141
"geschoten",0.0775
"uitgestuurd",0.0193
"samengesteld",0.3645
"genomineerd",0.2032
"gemalen",0.8962
"afgebleven",0.1667
"gebeld",0.0465
"getreden",0.1217
"geforceerd",0.3781
"gestaan",0.0195
"omgedraaid",0.0493
"uitgeleend",0.154
"uitgehaald",0.0208
"geweken",0.0319
"gebannen",0.041
"omgekocht",0.0618
"aangenomen",0.143
"bedreigd",0.2209
"geïnteresseerd",0.6435
"opgepompt",0.1588
"gemaskerd",0.6458
"ontzet",0.3828
"gehuurd",0.1731
"begeleid",0.4019
"getrokken",0.0986
"gemerkt",0.0291
"doorgereden",0.0569
"doodgeknuppeld",0
"ondergebracht",0.0838
"bezield",0.529
"bijgebouwd",0
"gedumpt",0.1428
"teruggevonden",0.0962
"opgeleid",0.2573
"afgevraagd",0.039
"gewild",0.2672
"uitgejouwd",0.0516
