Verb,Unconditional MLE,Fisher's p,Verb frequency,Collostruction frequency,'Zijn' ratio
toebehoren,inf,5.14082791273e-15,76,76,0
malen,inf,3.02802855267e-11,56,56,0.125
toeleggen,19.3828638123,2.07809615779e-32,218,212,0.00917431192661
opzeggen,19.2065654064,2.58414231989e-11,72,70,0.0138888888889
plaatsvinden,18.3236384302,2.16505065052e-146,1034,1004,0
kwijtraken,11.7266895621,4.09312960458e-23,179,171,1.0
binnenkomen,11.5240639798,3.14613489605e-09,66,63,1.0
opsommen,10.060872875,1.03578298152e-07,58,55,0.672413793103
deelnemen,9.49825739162,1.978299441e-75,660,624,0.00606060606061
doorbrengen,9.32560572111,1.62177804079e-25,216,204,0.00925925925926
voordoen,9.01418251511,1.10760787017e-14,122,115,0
afkondigen,9.01418251511,1.10760787017e-14,122,115,0.213114754098
binnenvallen,8.09307266383,1.7846513879e-14,126,118,1.0
overgeven,8.04797625403,6.58621366408e-11,94,88,0.0425531914894
neerslaan,7.56247348195,3.18011548163e-22,207,193,0.275362318841
neerzetten,7.48563668733,3.41731827458e-26,249,232,0.156626506024
oplopen,7.41817237032,1.3901962381e-47,465,433,0.137634408602
aangaan,7.33180693525,8.15529250309e-17,158,147,0.689873417722
opdoen,7.16540587727,2.51750885327e-23,225,209,0.142222222222
aanrichten,7.08641818157,1.72806167449e-17,167,155,0.11377245509
bezighouden,6.99690800932,1.66548068166e-06,55,51,0.0181818181818
afstoten,6.8597292538,2.6057323352e-06,54,50,0.0740740740741
opwerpen,6.76783080547,1.15356598256e-08,80,74,0.325
inslaan,6.67638873984,1.14258021359e-08,79,73,0.721518987342
nalaten,6.58303927775,1.84724856245e-19,195,180,0.0923076923077
indienen,6.41452688464,6.79089943945e-28,292,269,0.27397260274
binnenhalen,6.40206005907,4.51489591544e-08,76,70,0.210526315789
doormaken,6.27955259208,2.71200339875e-11,112,103,0
staan,6.22161776399,1.1314161918e-124,1386,1274,0
toenemen,6.19153124022,1.28443457072e-16,172,158,0.994186046512
toekennen,6.12534870172,2.08738984742e-87,975,895,0.156923076923
afleggen,6.03176657515,5.48241164445e-34,372,341,0.0913978494624
uitreiken,5.9958796664,1.38201341616e-86,980,898,0.0469387755102
voortbrengen,5.86637871394,2.29102519047e-24,269,246,0.0557620817844
uitbreken,5.77104275627,8.55746050632e-24,265,242,0.996226415094
meemaken,5.72590580598,1.57309915178e-25,286,261,0
overlopen,5.70724029958,5.29051997848e-06,57,52,0.964912280702
aanbrengen,5.67105630828,4.34892697049e-98,1159,1057,0.560828300259
voorleggen,5.67001562112,1.02844079492e-09,102,93,0.117647058824
afgeven,5.6472223504,1.8611434299e-17,192,175,0.244791666667
inlijven,5.55653052438,1.90507153079e-22,256,233,0.18359375
