Verb,Unconditional MLE,Fisher's p,Verb frequency,Collostruction frequency,'Zijn' ratio
bekend,50.367100153,0.0,2139,2064,0.230481533427
kampen,47.691472071,3.23158572739e-62,163,157,0
vertrouwen,44.6433771365,4.55051801172e-20,51,49,0.980392156863
noodzaken,44.1035444701,8.5450189939e-48,126,121,0.84126984127
benodigd,43.0097761104,1.69973914877e-46,123,118,0.975609756098
bevriend,33.3253368758,1.42796583182e-48,135,128,0.814814814815
verplichten,30.9992516737,9.97510680487e-144,414,391,0.727053140097
gebruikmaken,23.4298623668,1.77089988022e-32,97,90,0.0824742268041
zien,22.7032934011,0.0,3930,3636,0.998218829517
zeggen,21.867041067,7.08094485569e-26,78,72,0.115384615385
danken,19.3688750687,4.38811186493e-194,639,584,0.303599374022
bezet,19.3619055798,1.63697836904e-29,93,85,0.967741935484
beperkt,16.1154813952,2.48995912467e-54,187,168,0.593582887701
vinden,15.9230868275,0.0,2000,1794,0.9985
verschuldigd,15.6717033739,2.71276342342e-28,96,86,0.989583333333
overtuigen,14.654430033,6.11937764973e-63,226,201,0.79203539823
gewennen,12.1492745918,5.75423705791e-36,138,120,0.905797101449
bezichtigen,10.8619552252,1.57676749714e-42,174,149,0.98275862069
wensen,10.0810135771,9.08181558502e-49,209,177,0.775119617225
herkennen,9.80790604847,4.051934261e-61,268,226,1.0
geschikt,9.5315172708,3.26693890266e-19,81,68,0.555555555556
verlammen,8.94512035035,3.819538525e-15,65,54,0.692307692308
kleuren,8.86074456163,4.48158567518e-37,170,141,0.829411764706
rechtvaardigen,8.74624524953,1.74544276047e-13,58,48,0.758620689655
interesseren,8.66768295131,7.01855156696e-55,259,214,0.969111969112
verouderen,8.50360022464,8.30902459368e-19,85,70,1.0
moeien,8.44811188531,4.90776219821e-14,62,51,1.0
relateren,7.97392770407,9.19025511981e-52,258,210,0.903100775194
geïnteresseerd,7.42872459781,1.05244048436e-13,66,53,1.0
liëren,7.02854478,1.64739180732e-19,102,81,0.990196078431
overdekken,6.71329470433,1.06366793278e-16,89,70,0.719101123596
vergroeien,6.57136690934,5.23924877764e-27,152,119,1.0
storen,6.50758077131,4.33660497096e-12,64,50,0.203125
merken,6.31670293307,2.33457237416e-12,67,52,0.626865671642
bescheren,6.16711750382,1.62010448952e-10,57,44,1.0
besmetten,5.97357219505,3.93916815281e-37,231,177,0.744588744589
achterhalen,5.70417864828,1.26775775528e-15,95,72,0.736842105263
pogen,5.68072687312,9.34590658561e-12,70,53,0.0285714285714
vereisen,5.63072232605,1.20872417902e-41,274,207,0.850364963504
begroeien,5.60641973061,5.81715413303e-09,53,40,0.962264150943
beluisteren,5.60155771033,1.56793950501e-17,110,83,0.772727272727
bewonderen,5.53405654175,3.20510004054e-17,109,82,0.669724770642
huwen,5.42492683556,3.10840280954e-49,338,253,0.94674556213
wijten,5.38936114088,3.33207302946e-40,277,207,0.649819494585
lijden,5.35543257121,1.84420971804e-28,193,144,0.0259067357513
bestemmen,5.12773378386,4.22790723426e-72,530,391,0.907547169811
beoefenen,4.86177575,5.92839944882e-181,1433,1042,0.00209351011863
trouwen,4.83599847444,4.21683104371e-167,1329,965,0.987208427389
verweven,4.77218795684,1.07006945921e-10,76,55,0.842105263158
oriënteren,4.76558815293,3.93764642792e-13,94,68,0.957446808511
isoleren,4.69935829826,7.2844538084e-18,136,98,0.544117647059
horen,4.37574166556,1.04581831278e-154,1380,974,0.626086956522
verlichten,4.36210923058,8.2489852631e-14,112,79,0.410714285714
verzwakken,4.33854367416,2.79203115159e-17,142,100,0.711267605634
vermissen,4.33540259048,2.91467691218e-12,98,69,0.397959183673
vervormen,4.31544538158,1.97994742319e-08,64,45,0.359375
dwingen,4.27992419189,5.27138903441e-86,780,547,0.261538461538
buigen,4.27062988587,5.82577261997e-13,107,75,0.710280373832
binden,4.20800108225,1.34203067356e-58,536,374,0.80223880597
herleiden,4.1908776381,4.96685316037e-12,99,69,0.656565656566
verboden,4.06907865997,1.90972234619e-96,934,645,0.44539614561
dateren,4.04526974638,7.4880224764e-18,161,111,0.465838509317
bedoeld,4.03796696786,2.53582505696e-216,2143,1476,0.694353709753
opgewassen,4.0237706966,2.93495300924e-09,77,53,1.0
pesten,3.99688990812,2.32543676635e-11,99,68,0.0808080808081
belasten,3.97153390764,1.72789950072e-52,515,353,0.557281553398
dirigeren,3.96564692906,1.02948788821e-06,54,37,0.037037037037
mixen,3.96564692906,1.02948788821e-06,54,37,0.462962962963
kleden,3.91743691686,1.84905843339e-07,63,43,0.857142857143
verwarren,3.84669668616,5.47266091765e-12,112,76,0.196428571429
linken,3.84655654933,9.27309921014e-07,56,38,0.446428571429
verdenken,3.82724388579,2.09884300443e-42,434,294,0.0506912442396
bevriezen,3.76565650488,5.38837954835e-10,92,62,0.804347826087
groeperen,3.74833647323,3.57805171549e-11,107,72,0.831775700935
bewapenen,3.74000190512,1.25607814851e-06,58,39,0.810344827586
optimaliseren,3.64408971955,4.82197946878e-06,54,36,0.740740740741
bewonen,3.61723338545,3.69471409336e-68,767,510,0.308996088657
beschermen,3.58535165038,3.89875791077e-48,543,360,0.366482504604
verbond,3.57575473546,1.38505416971e-236,2773,1836,0.847097006852
legeren,3.55358211052,1.33536817371e-31,354,234,0.878531073446
hinderen,3.55310995668,2.34811279999e-11,118,78,0.0423728813559
munten,3.51848413208,1.73860533837e-08,85,56,0.0235294117647
vervuilen,3.46188184334,5.64304057317e-06,58,38,0.620689655172
ontsluiten,3.39563008672,2.06901335932e-06,63,41,0.555555555556
refereren,3.38382695269,1.0839472599e-07,80,52,0
vrezen,3.37754085934,9.76381025673e-11,117,76,0.136752136752
downloaden,3.36385467814,4.0521956518e-10,111,72,0.621621621622
vullen,3.35878346705,1.6349243952e-39,489,317,0.638036809816
bemannen,3.31280234741,3.64896631389e-06,62,40,0.306451612903
begrijpen,3.31134074073,1.50959815524e-21,262,169,0.282442748092
verspelen,3.26713427443,1.57920413808e-07,81,52,0.0493827160494
bedriegen,3.23927260895,1.08584290346e-10,125,80,0.16
bedekken,3.23526686197,7.68821453265e-38,494,316,0.698380566802
plagen,3.23268353125,9.47720502737e-08,86,55,0.0116279069767
trachten,3.22367218757,2.07528746938e-09,108,69,0.0740740740741
voeden,3.21560975207,1.46782655634e-18,235,150,0.0297872340426
straffen,3.20846273876,9.35056469575e-11,127,81,0.157480314961
richten,3.20667786215,4.18585654231e-102,1396,890,0.906160458453
garanderen,3.20429752083,4.27702551346e-07,80,51,0.4
kenmerken,3.18579179665,1.12448980975e-50,687,437,0.0262008733624
vertegenwoordigen,3.15139071254,2.35267456626e-36,494,313,0.647773279352
omringen,3.14589019953,6.8536167058e-22,289,183,0.39446366782
documenteren,3.11264378333,6.52365014237e-06,65,41,0.661538461538
vertragen,3.10821200585,8.2418588917e-08,92,58,0.326086956522
vergeten,3.09462749434,6.67186611408e-23,313,197,0.776357827476
